substrate_id	discipline	decided_by	evidence
advmath_tongji_full	数学	program_keyword	前缀advmath_tongji_full: 同济高数
advmath_zh_07fe788402	经济学	program_keyword	关键词命中: 市场, 金融, market, 经济, 博弈, 价格, price, 收益, 投资, 成本, 税收, 资本, 效用, c
advmath_zh_09c0cb2d99	经济学	program_keyword	关键词命中: 均衡, 增长, fiscal, equilibrium, cost, capital, 市场, 价格, 收益, 资本, 
advmath_zh_17593f19b5	数学	program_keyword	关键词命中: theorem, topolog, 引理, lemma, 函数, 定理, 映射, 分布
advmath_zh_1b08c20ddf	经济学	program_keyword	关键词命中: equilibrium, demand, price, welfare, 经济, 均衡, 市场, market, 金融,
advmath_zh_1fa53e9fef	数学	program_keyword	关键词命中: vector space, theorem, matrix, derivative, differentiab, con
advmath_zh_2addb40ad6	数学	human	博弈论形式机器(Payoff Matrix/策略单纯形/Nash均衡形式化)=工具层
advmath_zh_2c2ed98877	数学	program_keyword	关键词命中: 集合, 定理, 函数, injection, surjection, theorem, lemma, 收敛, 极限, c
advmath_zh_3351f3030f	数学	program_keyword	关键词命中: derivative, power rule, matrix, eigen, theorem, lemma, integ
advmath_zh_447b04d249	经济学	program_keyword	关键词命中: 增长, 均衡, 福利, 税收, 成本, 资本, capital, 价格, 厂商, 消费者, price, equilib
advmath_zh_450a2e154e	经济学	program_keyword	关键词命中: 经济, 宏观, price, cost, capital, 成本, 收益, 均衡, equilibrium, 通货膨胀,
advmath_zh_5103d7d0c8	经济学	program_keyword	关键词命中: market, cost, 经济, 成本, 市场, 均衡, 博弈, equilibrium, game theor, d
advmath_zh_589f790d51	数学	human	KKT/非线性规划/线性规划对偶=最优化工具层
advmath_zh_63d60f54d3	经济学	program_keyword	关键词命中: 需求, 价格, 市场, 均衡, 资本, capital, demand, welfare, price, elastic
advmath_zh_704ca10d84	数学	program_keyword	关键词命中: 集合, 函数, 向量, 积分, integral, 拓扑, topolog, 定理, theorem, 连续性, con
advmath_zh_8b24126928	经济学	program_keyword	关键词命中: 市场, 资本, 经济, 福利, 增长, 利率, market, utility, equilibrium, capita
advmath_zh_9ae93e700b	经济学	program_keyword	关键词命中: 资本, 增长, 市场, 均衡, 投资, cost, demand, market, monopol, 垄断, 税收, e
advmath_zh_9bbeb64cca	经济学	program_keyword	关键词命中: 价格, price, 利率, capital, 增长, equilibrium, 均衡, 资本, 经济, 税收, uti
